airlineId,origin,destination
AC,ABJ,BRU
AC,ABJ,OUA
AC,ADD,JED
AC,AMS,CPH
AC,ANU,YYZ
AC,ATL,DEN
AC,ATL,YYZ
AC,AUA,YYZ
AC,AUH,YYZ
AC,AZS,YUL
AC,AZS,YYZ
AC,BAH,DOH
AC,BCN,YYZ
AC,BDA,YYZ
AC,BDL,YUL
AC,BDL,YYZ
AC,BGI,YYZ
AC,BJM,NBO
AC,BKK,ICN
AC,BKK,NRT
AC,BNA,YYZ
AC,BOG,YYZ
AC,BOS,YHZ
AC,BOS,YOW
AC,BOS,YUL
AC,BOS,YYZ
AC,BRU,BJM
AC,BRU,COO
AC,BRU,DKR
AC,BRU,DLA
AC,BRU,KGL
AC,BRU,LAD
AC,BRU,OUA
AC,BRU,YUL
AC,BRU,YYZ
AC,BWI,YYZ
AC,CCC,YYZ
AC,CDG,YUL
AC,CDG,YYZ
AC,CKY,DKR
AC,CLE,YYZ
AC,CLT,YYZ
AC,CMH,YYZ
AC,COO,ABJ
AC,CPH,AMS
AC,CPH,OSL
AC,CPH,VNO
AC,CPH,WAW
AC,CPH,YYZ
AC,CUN,YUL
AC,CUN,YYC
AC,CUN,YYZ
AC,CVG,YYZ
AC,CZM,YUL
AC,DCA,YOW
AC,DCA,YUL
AC,DCA,YYZ
AC,DEL,BRU
AC,DEN,ATL
AC,DEN,MSY
AC,DEN,YEG
AC,DEN,YMM
AC,DEN,YQR
AC,DEN,YUL
AC,DEN,YVR
AC,DEN,YWG
AC,DEN,YXE
AC,DEN,YYC
AC,DEN,YYZ
AC,DFW,YYZ
AC,DKR,BRU
AC,DKR,CKY
AC,DLA,BRU
AC,DLA,FIH
AC,DOH,BAH
AC,DOH,FRA
AC,DTW,YYZ
AC,DUB,YYZ
AC,EBB,BRU
AC,EWR,MSY
AC,EWR,YEG
AC,EWR,YUL
AC,EWR,YVR
AC,EWR,YYC
AC,EWR,YYZ
AC,EZE,SCL
AC,FCO,YYZ
AC,FDF,YUL
AC,FIH,BRU
AC,FIH,DLA
AC,FLL,YUL
AC,FLL,YYZ
AC,FRA,DOH
AC,FRA,JED
AC,FRA,LCA
AC,FRA,NAP
AC,FRA,VLC
AC,FRA,VNO
AC,FRA,YOW
AC,FRA,YUL
AC,FRA,YVR
AC,FRA,YYC
AC,FRA,YYZ
AC,GCM,YYZ
AC,GDN,CPH
AC,GGT,YYZ
AC,GND,YYZ
AC,GRU,YYZ
AC,GVA,YUL
AC,HAV,YYZ
AC,HKG,YVR
AC,HKG,YYZ
AC,HND,YVR
AC,HNL,YVR
AC,HOG,YUL
AC,HOG,YYZ
AC,IAD,MSY
AC,IAD,YOW
AC,IAD,YUL
AC,IAD,YYZ
AC,IAH,MSY
AC,IAH,YEG
AC,IAH,YUL
AC,IAH,YYC
AC,IAH,YYZ
AC,ICN,BKK
AC,ICN,YVR
AC,IND,YYZ
AC,IST,YYZ
AC,JED,ADD
AC,JED,FRA
AC,JED,IST
AC,JFK,YYZ
AC,KGL,EBB
AC,KGL,NBO
AC,KIN,YYZ
AC,LAD,FIH
AC,LAS,YUL
AC,LAS,YVR
AC,LAS,YYC
AC,LAS,YYZ
AC,LAX,YLW
AC,LAX,YUL
AC,LAX,YVR
AC,LAX,YYC
AC,LAX,YYZ
AC,LCA,FRA
AC,LGA,YOW
AC,LGA,YUL
AC,LGA,YYZ
AC,LHR,YEG
AC,LHR,YHZ
AC,LHR,YOW
AC,LHR,YUL
AC,LHR,YVR
AC,LHR,YYC
